,date,Temperature(℃),Humidity(%RH)
6806,2021-02-20 00:51:05+01:00,6.75,72.04
6805,2021-02-20 00:52:05+01:00,6.76,72.05
6804,2021-02-20 00:53:05+01:00,6.77,72.06
6803,2021-02-20 00:54:05+01:00,6.78,72.07
6802,2021-02-20 00:55:05+01:00,6.79,72.08
6801,2021-02-20 00:56:05+01:00,6.79,72.0
6800,2021-02-20 00:57:05+01:00,6.78,72.0
6799,2021-02-20 00:58:05+01:00,6.76,72.01
6798,2021-02-20 00:59:05+01:00,6.74,72.02
6797,2021-02-20 01:00:05+01:00,6.72,72.02
6796,2021-02-20 01:01:05+01:00,6.7,72.03
6795,2021-02-20 01:02:05+01:00,6.68,72.04
6794,2021-02-20 01:03:05+01:00,6.66,72.04
6793,2021-02-20 01:04:05+01:00,6.64,72.05
6792,2021-02-20 01:05:05+01:00,6.62,72.06
6791,2021-02-20 01:06:05+01:00,6.69,72.05
6790,2021-02-20 01:07:05+01:00,6.68,72.05
6789,2021-02-20 01:08:05+01:00,6.66,72.05
6788,2021-02-20 01:09:05+01:00,6.64,72.06
6787,2021-02-20 01:10:05+01:00,6.62,72.06
6786,2021-02-20 01:11:05+01:00,6.61,72.06
6785,2021-02-20 01:12:05+01:00,6.59,72.07
6784,2021-02-20 01:13:05+01:00,6.57,72.07
6783,2021-02-20 01:14:05+01:00,6.55,72.07
6782,2021-02-20 01:15:05+01:00,6.53,72.08
6781,2021-02-20 01:16:05+01:00,6.53,72.07
6780,2021-02-20 01:17:05+01:00,6.53,72.07
6779,2021-02-20 01:18:05+01:00,6.52,72.07
6778,2021-02-20 01:19:05+01:00,6.51,72.07
6777,2021-02-20 01:20:05+01:00,6.51,72.07
6776,2021-02-20 01:21:05+01:00,6.5,72.06
6775,2021-02-20 01:22:05+01:00,6.49,72.06
6774,2021-02-20 01:23:05+01:00,6.49,72.06
6773,2021-02-20 01:24:05+01:00,6.48,72.06
6772,2021-02-20 01:25:05+01:00,6.47,72.05
6771,2021-02-20 01:26:05+01:00,6.48,72.07
6770,2021-02-20 01:27:05+01:00,6.48,72.07
6769,2021-02-20 01:28:05+01:00,6.47,72.07
6768,2021-02-20 01:29:05+01:00,6.46,72.07
6767,2021-02-20 01:30:05+01:00,6.45,72.07
6766,2021-02-20 01:31:05+01:00,6.45,72.07
6765,2021-02-20 01:32:05+01:00,6.44,72.07
6764,2021-02-20 01:33:05+01:00,6.43,72.07
6763,2021-02-20 01:34:05+01:00,6.42,72.07
6762,2021-02-20 01:35:05+01:00,6.41,72.07
6761,2021-02-20 01:36:05+01:00,6.49,72.07
6760,2021-02-20 01:37:05+01:00,6.48,72.07
6759,2021-02-20 01:38:05+01:00,6.46,72.07
6758,2021-02-20 01:39:05+01:00,6.44,72.07
6757,2021-02-20 01:40:05+01:00,6.42,72.07
6756,2021-02-20 01:41:05+01:00,6.4,72.07
6755,2021-02-20 01:42:05+01:00,6.38,72.07
6754,2021-02-20 01:43:05+01:00,6.36,72.07
6753,2021-02-20 01:44:05+01:00,6.34,72.07
6752,2021-02-20 01:45:05+01:00,6.32,72.07
6751,2021-02-20 01:46:05+01:00,6.38,72.07
6750,2021-02-20 01:47:05+01:00,6.37,72.07
6749,2021-02-20 01:48:05+01:00,6.36,72.07
6748,2021-02-20 01:49:05+01:00,6.34,72.06
6747,2021-02-20 01:50:05+01:00,6.33,72.06
6746,2021-02-20 01:51:05+01:00,6.31,72.06
6745,2021-02-20 01:52:05+01:00,6.3,72.05
6744,2021-02-20 01:53:05+01:00,6.28,72.05
6743,2021-02-20 01:54:05+01:00,6.27,72.05
6742,2021-02-20 01:55:05+01:00,6.25,72.04
6741,2021-02-20 01:56:05+01:00,6.26,72.04
6740,2021-02-20 01:57:05+01:00,6.26,72.04
6739,2021-02-20 01:58:05+01:00,6.25,72.04
6738,2021-02-20 01:59:05+01:00,6.24,72.04
6737,2021-02-20 02:00:05+01:00,6.23,72.04
6736,2021-02-20 02:01:05+01:00,6.23,72.04
6735,2021-02-20 02:02:05+01:00,6.22,72.04
6734,2021-02-20 02:03:05+01:00,6.21,72.04
6733,2021-02-20 02:04:05+01:00,6.2,72.04
6732,2021-02-20 02:05:05+01:00,6.19,72.04
6731,2021-02-20 02:06:05+01:00,6.18,72.04
6730,2021-02-20 02:07:05+01:00,6.18,72.04
6729,2021-02-20 02:08:05+01:00,6.17,72.04
6728,2021-02-20 02:09:05+01:00,6.16,72.04
6727,2021-02-20 02:10:05+01:00,6.15,72.04
6726,2021-02-20 02:11:05+01:00,6.14,72.04
6725,2021-02-20 02:12:05+01:00,6.13,72.04
6724,2021-02-20 02:13:05+01:00,6.12,72.04
6723,2021-02-20 02:14:05+01:00,6.11,72.04
6722,2021-02-20 02:15:05+01:00,6.1,72.04
6721,2021-02-20 02:16:05+01:00,6.03,72.04
6720,2021-02-20 02:17:05+01:00,6.04,72.04
6719,2021-02-20 02:18:05+01:00,6.06,72.04
6718,2021-02-20 02:19:05+01:00,6.08,72.03
6717,2021-02-20 02:20:05+01:00,6.1,72.03
6716,2021-02-20 02:21:05+01:00,6.11,72.02
6715,2021-02-20 02:22:05+01:00,6.13,72.02
6714,2021-02-20 02:23:05+01:00,6.15,72.01
6713,2021-02-20 02:24:05+01:00,6.17,72.01
6712,2021-02-20 02:25:05+01:00,6.19,72.0
6711,2021-02-20 02:26:05+01:00,6.08,72.0
6710,2021-02-20 02:27:05+01:00,6.07,72.0
6709,2021-02-20 02:28:05+01:00,6.06,72.0
6708,2021-02-20 02:29:05+01:00,6.05,72.0
6707,2021-02-20 02:30:05+01:00,6.04,72.0
6706,2021-02-20 02:31:05+01:00,6.02,72.0
6705,2021-02-20 02:32:05+01:00,6.01,72.0
6704,2021-02-20 02:33:05+01:00,6.0,72.0
6703,2021-02-20 02:34:05+01:00,5.99,72.0
6702,2021-02-20 02:35:05+01:00,5.97,72.0
6701,2021-02-20 02:36:05+01:00,5.99,72.0
6700,2021-02-20 02:37:05+01:00,5.99,72.0
6699,2021-02-20 02:38:05+01:00,5.98,72.0
