,date,Temperature(℃),Humidity(%RH)
5956,2021-02-20 15:01:05+01:00,4.9,76.02
5955,2021-02-20 15:02:05+01:00,4.94,77.61
5954,2021-02-20 15:03:05+01:00,4.98,79.2
5953,2021-02-20 15:04:05+01:00,5.02,80.79
5952,2021-02-20 15:05:05+01:00,5.06,82.38
5951,2021-02-20 15:06:05+01:00,5.1,79.9
5950,2021-02-20 15:07:05+01:00,5.15,79.75
5949,2021-02-20 15:08:05+01:00,5.21,79.59
5948,2021-02-20 15:09:05+01:00,5.27,79.43
5947,2021-02-20 15:10:05+01:00,5.33,79.28
5946,2021-02-20 15:11:05+01:00,5.38,79.12
5945,2021-02-20 15:12:05+01:00,5.44,78.96
5944,2021-02-20 15:13:05+01:00,5.5,78.81
5943,2021-02-20 15:14:05+01:00,5.56,78.65
5942,2021-02-20 15:15:05+01:00,5.62,78.49
5941,2021-02-20 15:16:05+01:00,5.6,78.2
5940,2021-02-20 15:17:05+01:00,5.71,78.06
5939,2021-02-20 15:18:05+01:00,5.83,77.92
5938,2021-02-20 15:19:05+01:00,5.94,77.78
5937,2021-02-20 15:20:05+01:00,6.06,77.64
5936,2021-02-20 15:21:05+01:00,6.17,77.49
5935,2021-02-20 15:22:05+01:00,6.29,77.35
5934,2021-02-20 15:23:05+01:00,6.4,77.21
5933,2021-02-20 15:24:05+01:00,6.52,77.07
5932,2021-02-20 15:25:05+01:00,6.64,76.92
5931,2021-02-20 15:26:05+01:00,6.75,76.78
5930,2021-02-20 15:27:05+01:00,6.88,76.71
5929,2021-02-20 15:28:05+01:00,7.02,76.64
5928,2021-02-20 15:29:05+01:00,7.16,76.56
5927,2021-02-20 15:30:05+01:00,7.3,76.49
5926,2021-02-20 15:31:05+01:00,7.44,76.42
5925,2021-02-20 15:32:05+01:00,7.58,76.34
5924,2021-02-20 15:33:05+01:00,7.72,76.27
5923,2021-02-20 15:34:05+01:00,7.86,76.2
5922,2021-02-20 15:35:05+01:00,8.0,76.12
5921,2021-02-20 15:36:05+01:00,8.26,76.27
5920,2021-02-20 15:37:05+01:00,8.42,76.19
5919,2021-02-20 15:38:05+01:00,8.59,76.1
5918,2021-02-20 15:39:05+01:00,8.76,76.01
5917,2021-02-20 15:40:05+01:00,8.93,75.92
5916,2021-02-20 15:41:05+01:00,9.1,75.84
5915,2021-02-20 15:42:05+01:00,9.27,75.75
5914,2021-02-20 15:43:05+01:00,9.44,75.66
5913,2021-02-20 15:44:05+01:00,9.61,75.57
5912,2021-02-20 15:45:05+01:00,9.78,75.48
5911,2021-02-20 15:46:05+01:00,9.8,75.54
5910,2021-02-20 15:47:05+01:00,9.93,75.47
5909,2021-02-20 15:48:05+01:00,10.07,75.4
5908,2021-02-20 15:49:05+01:00,10.21,75.33
5907,2021-02-20 15:50:05+01:00,10.35,75.26
5906,2021-02-20 15:51:05+01:00,10.49,75.19
5905,2021-02-20 15:52:05+01:00,10.63,75.12
5904,2021-02-20 15:53:05+01:00,10.77,75.05
5903,2021-02-20 15:54:05+01:00,10.91,74.98
5902,2021-02-20 15:55:05+01:00,11.05,74.91
5901,2021-02-20 15:56:05+01:00,11.14,74.74
5900,2021-02-20 15:57:05+01:00,11.22,74.76
5899,2021-02-20 15:58:05+01:00,11.3,74.79
5898,2021-02-20 15:59:05+01:00,11.39,74.82
5897,2021-02-20 16:00:05+01:00,11.47,74.85
5896,2021-02-20 16:01:05+01:00,11.56,74.88
5895,2021-02-20 16:02:05+01:00,11.64,74.91
5894,2021-02-20 16:03:05+01:00,11.73,74.94
5893,2021-02-20 16:04:05+01:00,11.81,74.97
5892,2021-02-20 16:05:05+01:00,11.9,75.0
5891,2021-02-20 16:06:05+01:00,11.99,74.69
5890,2021-02-20 16:07:05+01:00,12.05,74.6
5889,2021-02-20 16:08:05+01:00,12.12,74.51
5888,2021-02-20 16:09:05+01:00,12.18,74.42
5887,2021-02-20 16:10:05+01:00,12.25,74.33
5886,2021-02-20 16:11:05+01:00,12.31,74.24
5885,2021-02-20 16:12:05+01:00,12.38,74.15
5884,2021-02-20 16:13:05+01:00,12.44,74.06
5883,2021-02-20 16:14:05+01:00,12.51,73.97
5882,2021-02-20 16:15:05+01:00,12.58,73.87
5881,2021-02-20 16:16:05+01:00,12.64,73.81
5880,2021-02-20 16:17:05+01:00,12.68,73.76
5879,2021-02-20 16:18:05+01:00,12.73,73.7
5878,2021-02-20 16:19:05+01:00,12.78,73.65
5877,2021-02-20 16:20:05+01:00,12.82,73.59
5876,2021-02-20 16:21:05+01:00,12.87,73.54
5875,2021-02-20 16:22:05+01:00,12.92,73.48
5874,2021-02-20 16:23:05+01:00,12.96,73.43
5873,2021-02-20 16:24:05+01:00,13.01,73.37
5872,2021-02-20 16:25:05+01:00,13.06,73.31
5871,2021-02-20 16:26:05+01:00,13.1,73.27
5870,2021-02-20 16:27:05+01:00,13.14,73.25
5869,2021-02-20 16:28:05+01:00,13.19,73.22
5868,2021-02-20 16:29:05+01:00,13.24,73.2
5867,2021-02-20 16:30:05+01:00,13.29,73.17
5866,2021-02-20 16:31:05+01:00,13.34,73.15
5865,2021-02-20 16:32:05+01:00,13.39,73.12
5864,2021-02-20 16:33:05+01:00,13.44,73.1
5863,2021-02-20 16:34:05+01:00,13.49,73.07
5862,2021-02-20 16:35:05+01:00,13.54,73.04
5861,2021-02-20 16:36:05+01:00,13.59,72.99
5860,2021-02-20 16:37:05+01:00,13.62,72.92
5859,2021-02-20 16:38:05+01:00,13.66,72.85
5858,2021-02-20 16:39:05+01:00,13.7,72.78
5857,2021-02-20 16:40:05+01:00,13.74,72.71
5856,2021-02-20 16:41:05+01:00,13.78,72.64
5855,2021-02-20 16:42:05+01:00,13.82,72.57
5854,2021-02-20 16:43:05+01:00,13.86,72.5
5853,2021-02-20 16:44:05+01:00,13.9,72.43
5852,2021-02-20 16:45:05+01:00,13.94,72.36
5851,2021-02-20 16:46:05+01:00,13.97,72.27
5850,2021-02-20 16:47:05+01:00,14.0,72.25
5849,2021-02-20 16:48:05+01:00,14.03,72.22
5848,2021-02-20 16:49:05+01:00,14.06,72.2
5847,2021-02-20 16:50:05+01:00,14.09,72.17
5846,2021-02-20 16:51:05+01:00,14.12,72.15
5845,2021-02-20 16:52:05+01:00,14.15,72.12
5844,2021-02-20 16:53:05+01:00,14.18,72.1
5843,2021-02-20 16:54:05+01:00,14.21,72.07
5842,2021-02-20 16:55:05+01:00,14.25,72.04
5841,2021-02-20 16:56:05+01:00,14.28,72.09
5840,2021-02-20 16:57:05+01:00,14.31,72.07
5839,2021-02-20 16:58:05+01:00,14.34,72.05
5838,2021-02-20 16:59:05+01:00,14.37,72.03
5837,2021-02-20 17:00:05+01:00,14.4,72.01
5836,2021-02-20 17:01:05+01:00,14.44,71.99
5835,2021-02-20 17:02:05+01:00,14.47,71.97
5834,2021-02-20 17:03:05+01:00,14.5,71.95
5833,2021-02-20 17:04:05+01:00,14.53,71.93
5832,2021-02-20 17:05:05+01:00,14.57,71.91
5831,2021-02-20 17:06:05+01:00,14.5,71.89
5830,2021-02-20 17:07:05+01:00,14.54,71.84
5829,2021-02-20 17:08:05+01:00,14.58,71.79
5828,2021-02-20 17:09:05+01:00,14.62,71.73
5827,2021-02-20 17:10:05+01:00,14.66,71.68
5826,2021-02-20 17:11:05+01:00,14.7,71.62
5825,2021-02-20 17:12:05+01:00,14.74,71.57
5824,2021-02-20 17:13:05+01:00,14.78,71.51
5823,2021-02-20 17:14:05+01:00,14.82,71.46
5822,2021-02-20 17:15:05+01:00,14.86,71.4
5821,2021-02-20 17:16:05+01:00,14.87,71.47
5820,2021-02-20 17:17:05+01:00,14.89,71.45
5819,2021-02-20 17:18:05+01:00,14.91,71.42
5818,2021-02-20 17:19:05+01:00,14.93,71.39
5817,2021-02-20 17:20:05+01:00,14.95,71.37
5816,2021-02-20 17:21:05+01:00,14.97,71.34
5815,2021-02-20 17:22:05+01:00,14.99,71.31
5814,2021-02-20 17:23:05+01:00,15.01,71.29
5813,2021-02-20 17:24:05+01:00,15.03,71.26
5812,2021-02-20 17:25:05+01:00,15.06,71.23
5811,2021-02-20 17:26:05+01:00,15.09,71.34
5810,2021-02-20 17:27:05+01:00,15.11,71.29
5809,2021-02-20 17:28:05+01:00,15.13,71.23
5808,2021-02-20 17:29:05+01:00,15.15,71.17
5807,2021-02-20 17:30:05+01:00,15.17,71.11
5806,2021-02-20 17:31:05+01:00,15.19,71.06
5805,2021-02-20 17:32:05+01:00,15.21,71.0
5804,2021-02-20 17:33:05+01:00,15.23,70.94
5803,2021-02-20 17:34:05+01:00,15.25,70.88
5802,2021-02-20 17:35:05+01:00,15.28,70.82
5801,2021-02-20 17:36:05+01:00,15.2,70.69
5800,2021-02-20 17:37:05+01:00,15.22,70.61
5799,2021-02-20 17:38:05+01:00,15.25,70.52
5798,2021-02-20 17:39:05+01:00,15.28,70.44
5797,2021-02-20 17:40:05+01:00,15.3,70.35
5796,2021-02-20 17:41:05+01:00,15.33,70.27
5795,2021-02-20 17:42:05+01:00,15.36,70.18
5794,2021-02-20 17:43:05+01:00,15.38,70.1
5793,2021-02-20 17:44:05+01:00,15.41,70.01
5792,2021-02-20 17:45:05+01:00,15.44,69.92
5791,2021-02-20 17:46:05+01:00,15.4,69.53
5790,2021-02-20 17:47:05+01:00,15.42,69.62
5789,2021-02-20 17:48:05+01:00,15.44,69.71
5788,2021-02-20 17:49:05+01:00,15.46,69.81
5787,2021-02-20 17:50:05+01:00,15.48,69.9
5786,2021-02-20 17:51:05+01:00,15.5,69.99
5785,2021-02-20 17:52:05+01:00,15.52,70.09
5784,2021-02-20 17:53:05+01:00,15.54,70.18
5783,2021-02-20 17:54:05+01:00,15.56,70.27
5782,2021-02-20 17:55:05+01:00,15.58,70.37
5781,2021-02-20 17:56:05+01:00,15.59,70.45
5780,2021-02-20 17:57:05+01:00,15.6,70.52
5779,2021-02-20 17:58:05+01:00,15.62,70.59
5778,2021-02-20 17:59:05+01:00,15.64,70.66
